date,wl
1/1/2005,4.608576
1/2/2005,4.425696
1/3/2005,4.2672
1/4/2005,4.117848
1/5/2005,4.005072
1/6/2005,3.877056
1/7/2005,3.82524
1/8/2005,3.867912
1/9/2005,3.983736
1/10/2005,4.14528
1/11/2005,4.3434
1/12/2005,4.568952
1/13/2005,4.757928
1/14/2005,4.824984
1/15/2005,4.885944
1/16/2005,4.989576
1/17/2005,5.09016
1/18/2005,5.209032
1/19/2005,5.294376
1/20/2005,5.361432
1/21/2005,5.519928
1/22/2005,5.596128
1/23/2005,5.666232
1/24/2005,5.748528
1/25/2005,5.803392
1/26/2005,5.876544
1/27/2005,5.9436
1/28/2005,6.013704
1/29/2005,6.068568
1/30/2005,6.099048
1/31/2005,6.120384
2/1/2005,6.245352
2/2/2005,6.29412
2/3/2005,6.224016
2/4/2005,6.18744
2/5/2005,6.150864
2/6/2005,6.06552
2/7/2005,6.03504
2/8/2005,5.900928
2/9/2005,5.785104
2/10/2005,5.66928
2/11/2005,5.54736
2/12/2005,5.370576
2/13/2005,5.169408
2/14/2005,5.056632
2/15/2005,4.867656
2/16/2005,4.733544
2/17/2005,4.629912
2/18/2005,4.559808
2/19/2005,4.489704
2/20/2005,4.410456
2/21/2005,4.376928
2/22/2005,4.398264
2/23/2005,4.407408
2/24/2005,4.437888
2/25/2005,4.514088
2/26/2005,4.562856
2/27/2005,4.642104
2/28/2005,4.672584
3/1/2005,4.623816
3/2/2005,4.63296
3/3/2005,4.666488
3/4/2005,4.669536
3/5/2005,4.645152
3/6/2005,4.599432
3/7/2005,4.596384
3/8/2005,4.565904
3/9/2005,4.486656
3/10/2005,4.407408
3/11/2005,4.315968
3/12/2005,4.151376
3/13/2005,4.011168
3/14/2005,3.867912
3/15/2005,3.691128
3/16/2005,3.633216
3/17/2005,3.346704
3/18/2005,3.224784
3/19/2005,3.115056
3/20/2005,3.035808
3/21/2005,3.029712
3/22/2005,3.035808
3/23/2005,2.950464
3/24/2005,2.798064
3/25/2005,2.776728
3/26/2005,2.706624
3/27/2005,2.642616
3/28/2005,2.465832
3/29/2005,2.319528
3/30/2005,2.249424
3/31/2005,2.17932
4/1/2005,2.218944
4/2/2005,2.276856
4/3/2005,2.322576
4/4/2005,2.417064
4/5/2005,2.642616
4/6/2005,2.855976
4/7/2005,3.008376
4/8/2005,3.121152
4/9/2005,3.270504
4/10/2005,3.422904
4/11/2005,3.605784
4/12/2005,3.803904
4/13/2005,3.8862
4/14/2005,3.995928
4/15/2005,4.163568
4/16/2005,4.306824
4/17/2005,4.401312
4/18/2005,4.492752
4/19/2005,4.60248
4/20/2005,4.626864
4/21/2005,4.639056
4/22/2005,4.608576
4/23/2005,4.559808
4/24/2005,4.45008
4/25/2005,4.3434
4/26/2005,4.197096
4/27/2005,3.986784
4/28/2005,3.773424
4/29/2005,3.557016
4/30/2005,3.32232
5/1/2005,3.072384
5/2/2005,2.8956
5/3/2005,2.798064
5/4/2005,2.737104
5/5/2005,2.691384
5/6/2005,2.68224
5/7/2005,2.703576
5/8/2005,2.700528
5/9/2005,2.761488
5/10/2005,2.8194
5/11/2005,2.855976
5/12/2005,2.871216
5/13/2005,2.852928
5/14/2005,2.843784
5/15/2005,2.75844
5/16/2005,2.627376
5/17/2005,2.465832
5/18/2005,2.279904
5/19/2005,2.060448
5/20/2005,1.84404
5/21/2005,1.670304
5/22/2005,1.514856
5/23/2005,1.453896
5/24/2005,1.411224
5/25/2005,1.395984
5/26/2005,1.469136
5/27/2005,1.527048
5/28/2005,1.606296
5/29/2005,1.697736
5/30/2005,1.908048
5/31/2005,2.036064
6/1/2005,2.106168
6/2/2005,2.154936
6/3/2005,2.145792
6/4/2005,2.097024
6/5/2005,1.99644
6/6/2005,1.85928
6/7/2005,1.734312
6/8/2005,1.578864
6/9/2005,1.530096
6/10/2005,1.472184
6/11/2005,1.603248
6/12/2005,1.545336
6/13/2005,1.40208
6/14/2005,1.298448
6/15/2005,1.31064
6/16/2005,1.328928
6/17/2005,1.392936
6/18/2005,1.502664
6/19/2005,1.609344
6/20/2005,1.716024
6/21/2005,1.792224
6/22/2005,1.868424
6/23/2005,1.914144
6/24/2005,1.978152
6/25/2005,2.029968
6/26/2005,2.054352
6/27/2005,2.051304
6/28/2005,1.975104
6/29/2005,1.95072
6/30/2005,1.819656
7/1/2005,1.709928
7/2/2005,1.594104
7/3/2005,1.536192
7/4/2005,1.4478
7/5/2005,1.389888
7/6/2005,1.807464
7/7/2005,1.316736
7/8/2005,1.267968
7/9/2005,1.213104
7/10/2005,1.41732
7/11/2005,1.520952
7/12/2005,1.420368
7/13/2005,1.335024
7/14/2005,1.350264
7/15/2005,1.374648
7/16/2005,1.395984
7/17/2005,1.43256
7/18/2005,1.466088
7/19/2005,1.514856
7/20/2005,1.517904
7/21/2005,1.450848
7/22/2005,0.92964
7/23/2005,0.886968
7/24/2005,0.795528
7/25/2005,0.752856
7/26/2005,0.725424
7/27/2005,0.694944
7/28/2005,0.679704
7/29/2005,0.707136
7/30/2005,0.691896
7/31/2005,0.65532
8/1/2005,0.6096
8/2/2005,0.524256
8/3/2005,0.47244
8/4/2005,0.780288
8/5/2005,0.77724
8/6/2005,0.774192
8/7/2005,0.774192
8/8/2005,0.774192
8/9/2005,0.774192
8/10/2005,0.774192
8/11/2005,0.774192
8/12/2005,0.801624
8/13/2005,0.798576
8/14/2005,0.856488
8/15/2005,0.871728
8/16/2005,0.813816
8/17/2005,0.768096
8/18/2005,0.768096
8/19/2005,0.768096
8/20/2005,0.768096
8/21/2005,0.768096
8/22/2005,0.768096
8/23/2005,0.768096
8/24/2005,0.79248
8/25/2005,0.832104
8/26/2005,0.865632
8/27/2005,0.957072
8/28/2005,1.103376
8/29/2005,4.273296
8/30/2005,3.183128
8/31/2005,2.09296
9/1/2005,1.002792
9/2/2005,0.917448
9/3/2005,0.871728
9/4/2005,0.950976
9/5/2005,1.033272
9/6/2005,1.231392
9/7/2005,1.301496
9/8/2005,1.304544
9/9/2005,1.307592
9/10/2005,1.35636
9/11/2005,1.38684
9/12/2005,1.365504
9/13/2005,1.32588
9/14/2005,1.240536
9/15/2005,1.155192
9/16/2005,1.08204
9/17/2005,0.89916
9/18/2005,0.829056
9/19/2005,0.8382
9/20/2005,0.829056
9/21/2005,0.9144
9/22/2005,1.210056
9/23/2005,2.054352
9/24/2005,1.929384
9/25/2005,1.502664
9/26/2005,1.258824
9/27/2005,1.121664
9/28/2005,1.106424
9/29/2005,1.12776
9/30/2005,1.027176
10/1/2005,0.993648
10/2/2005,1.078992
10/3/2005,1.118616
10/4/2005,1.246632
10/5/2005,1.237488
10/6/2005,1.24968
10/7/2005,1.210056
10/8/2005,1.17348
10/9/2005,1.170432
10/10/2005,1.118616
10/11/2005,1.048512
10/12/2005,1.002792
10/13/2005,0.871728
10/14/2005,0.786384
10/15/2005,0.771144
10/16/2005,0.771144
10/17/2005,0.77724
10/18/2005,0.80772
10/19/2005,0.862584
10/20/2005,0.969264
10/21/2005,1.048512
10/22/2005,1.069848
10/23/2005,1.143
10/24/2005,0.969264
10/25/2005,0.768096
10/26/2005,0.768096
10/27/2005,0.768096
10/28/2005,0.768096
10/29/2005,0.768096
10/30/2005,0.768096
10/31/2005,0.768096
11/1/2005,0.765048
11/2/2005,0.768096
11/3/2005,0.768096
11/4/2005,0.768096
11/5/2005,0.938784
11/6/2005,0.969264
11/7/2005,0.950976
11/8/2005,0.920496
11/9/2005,0.877824
11/10/2005,0.789432
11/11/2005,0.762
11/12/2005,0.762
11/13/2005,0.762
11/14/2005,0.762
11/15/2005,0.762
11/16/2005,0.762
11/17/2005,0.762
11/18/2005,0.765048
11/19/2005,0.762
11/20/2005,0.762
11/21/2005,0.762
11/22/2005,0.762
11/23/2005,0.762
11/24/2005,0.762
11/25/2005,0.762
11/26/2005,0.762
11/27/2005,0.871728
11/28/2005,0.941832
11/29/2005,0.890016
11/30/2005,0.789432
12/1/2005,0.768096
12/2/2005,0.789432
12/3/2005,0.862584
12/4/2005,0.871728
12/5/2005,0.935736
12/6/2005,0.923544
12/7/2005,0.880872
12/8/2005,0.941832
12/9/2005,0.82296
12/10/2005,0.762
12/11/2005,0.762
12/12/2005,0.762
12/13/2005,0.762
12/14/2005,0.8382
12/15/2005,1.063752
12/16/2005,1.0668
12/17/2005,1.213104
12/18/2005,1.23444
12/19/2005,0.987552
12/20/2005,0.902208
12/21/2005,0.768096
12/22/2005,0.762
12/23/2005,0.762
12/24/2005,0.762
12/25/2005,0.762
12/26/2005,0.762
12/27/2005,0.758952
12/28/2005,0.755904
12/29/2005,0.762
12/30/2005,0.758952
12/31/2005,0.755904
1/1/2006,0.755904
1/2/2006,0.819912
1/3/2006,0.755904
1/4/2006,0.755904
1/5/2006,0.755904
1/6/2006,0.755904
1/7/2006,0.762
1/8/2006,0.755904
1/9/2006,0.755904
1/10/2006,0.755904
1/11/2006,0.755904
1/12/2006,0.762
1/13/2006,0.877824
1/14/2006,0.762
1/15/2006,0.859536
1/16/2006,0.969264
1/17/2006,1.164336
1/18/2006,1.088136
1/19/2006,1.0668
1/20/2006,1.085088
1/21/2006,1.18872
1/22/2006,1.146048
1/23/2006,1.18872
1/24/2006,1.136904
1/25/2006,1.17348
1/26/2006,1.338072
1/27/2006,1.566672
1/28/2006,1.865376
1/29/2006,2.170176
1/30/2006,2.414016
1/31/2006,2.587752
2/1/2006,2.65176
2/2/2006,2.883408
2/3/2006,2.944368
2/4/2006,3.038856
2/5/2006,3.069336
2/6/2006,3.115056
2/7/2006,3.066288
2/8/2006,3.014472
2/9/2006,2.874264
2/10/2006,2.761488
2/11/2006,2.706624
2/12/2006,2.572512
2/13/2006,2.502408
2/14/2006,2.435352
2/15/2006,2.432304
2/16/2006,2.414016
2/17/2006,2.328672
2/18/2006,2.246376
2/19/2006,2.185416
2/20/2006,2.051304
2/21/2006,1.883664
2/22/2006,1.731264
2/23/2006,1.609344
2/24/2006,1.502664
2/25/2006,1.533144
2/26/2006,1.578864
2/27/2006,1.591056
2/28/2006,1.61544
3/1/2006,1.682496
3/2/2006,1.6764
3/3/2006,1.56972
3/4/2006,1.496568
3/5/2006,1.365504
3/6/2006,1.31064
3/7/2006,1.237488
3/8/2006,1.18872
3/9/2006,1.200912
3/10/2006,1.258824
3/11/2006,1.23444
3/12/2006,1.161288
3/13/2006,1.115568
3/14/2006,1.05156
3/15/2006,1.054608
3/16/2006,1.002792
3/17/2006,0.981456
3/18/2006,1.217676
3/19/2006,1.453896
3/20/2006,1.690116
3/21/2006,1.926336
3/22/2006,2.322576
3/23/2006,2.657856
3/24/2006,2.91084
3/25/2006,3.157728
3/26/2006,3.377184
3/27/2006,3.575304
3/28/2006,3.745992
3/29/2006,3.770376
3/30/2006,3.758184
3/31/2006,3.68808
4/1/2006,3.486912
4/2/2006,3.282696
4/3/2006,2.993136
4/4/2006,2.691384
4/5/2006,2.4384
4/6/2006,2.218944
4/7/2006,2.023872
4/8/2006,1.877568
4/9/2006,1.703832
4/10/2006,1.56972
4/11/2006,1.514856
4/12/2006,1.459992
4/13/2006,1.405128
4/14/2006,1.408176
4/15/2006,1.414272
4/16/2006,1.456944
4/17/2006,1.548384
4/18/2006,1.664208
4/19/2006,1.822704
4/20/2006,1.886712
4/21/2006,1.947672
4/22/2006,1.975104
4/23/2006,1.972056
4/24/2006,1.941576
4/25/2006,1.926336
4/26/2006,1.999488
4/27/2006,1.93548
4/28/2006,1.956816
4/29/2006,2.017776
4/30/2006,2.31648
5/1/2006,2.212848
5/2/2006,2.289048
5/3/2006,2.33172
5/4/2006,2.401824
5/5/2006,2.474976
5/6/2006,2.487168
5/7/2006,2.520696
5/8/2006,2.505456
5/9/2006,2.56032
5/10/2006,2.639568
5/11/2006,2.663952
5/12/2006,2.57556
5/13/2006,2.542032
5/14/2006,2.523744
5/15/2006,2.490216
5/16/2006,2.474976
5/17/2006,2.493264
5/18/2006,2.471928
5/19/2006,2.447544
5/20/2006,2.401824
5/21/2006,2.34696
5/22/2006,2.289048
5/23/2006,2.22504
5/24/2006,2.078736
5/25/2006,1.92024
5/26/2006,1.78308
5/27/2006,1.685544
5/28/2006,1.621536
5/29/2006,1.557528
5/30/2006,1.536192
5/31/2006,1.50876
6/1/2006,1.520952
6/2/2006,1.542288
6/3/2006,1.575816
6/4/2006,1.603248
6/5/2006,1.588008
6/6/2006,1.566672
6/7/2006,1.536192
6/8/2006,1.450848
6/9/2006,1.3716
6/10/2006,1.32588
6/11/2006,1.283208
6/12/2006,1.313688
6/13/2006,1.362456
6/14/2006,1.316736
6/15/2006,1.225296
6/16/2006,1.231392
6/17/2006,1.216152
6/18/2006,1.258824
6/19/2006,1.200912
6/20/2006,1.149096
6/21/2006,1.100328
6/22/2006,1.014984
6/23/2006,0.923544
6/24/2006,0.911352
6/25/2006,0.835152
6/26/2006,0.826008
6/27/2006,0.795528
6/28/2006,0.758952
6/29/2006,0.758952
6/30/2006,0.758952
7/1/2006,0.758952
7/2/2006,0.752856
7/3/2006,0.765048
7/4/2006,0.795528
7/5/2006,0.850392
7/6/2006,0.85344
7/7/2006,0.893064
7/8/2006,0.89916
7/9/2006,0.9144
7/10/2006,0.893064
7/11/2006,0.856488
7/12/2006,0.795528
7/13/2006,0.780288
7/14/2006,0.768096
7/15/2006,0.768096
7/16/2006,0.79248
7/17/2006,0.8382
7/18/2006,0.890016
7/19/2006,0.890016
7/20/2006,0.908304
7/21/2006,0.893064
7/22/2006,0.859536
7/23/2006,0.847344
7/24/2006,0.789432
7/25/2006,0.749808
7/26/2006,0.749808
7/27/2006,0.813816
7/28/2006,0.810768
7/29/2006,0.783336
7/30/2006,0.816864
7/31/2006,0.844296
8/1/2006,0.8382
8/2/2006,0.835152
8/3/2006,0.847344
8/4/2006,0.832104
8/5/2006,0.85344
8/6/2006,0.9144
8/7/2006,0.749808
8/8/2006,0.74676
8/9/2006,0.74676
8/10/2006,0.74676
8/11/2006,0.74676
8/12/2006,0.740664
8/13/2006,0.740664
8/14/2006,0.740664
8/15/2006,0.74676
8/16/2006,0.859536
8/17/2006,0.871728
8/18/2006,0.859536
8/19/2006,0.801624
8/20/2006,0.740664
8/21/2006,0.740664
8/22/2006,0.740664
8/23/2006,0.740664
8/24/2006,0.740664
8/25/2006,0.740664
8/26/2006,0.740664
8/27/2006,0.740664
8/28/2006,0.740664
8/29/2006,0.740664
8/30/2006,0.771144
8/31/2006,0.80772
9/1/2006,0.8382
9/2/2006,0.847344
9/3/2006,0.780288
9/4/2006,0.752856
9/5/2006,0.737616
9/6/2006,0.734568
9/7/2006,0.734568
9/8/2006,0.734568
9/9/2006,0.734568
9/10/2006,0.77724
9/11/2006,0.86868
9/12/2006,0.957072
9/13/2006,1.002792
9/14/2006,1.109472
9/15/2006,0.963168
9/16/2006,0.911352
9/17/2006,0.893064
9/18/2006,0.877824
9/19/2006,0.752856
9/20/2006,0.755904
9/21/2006,0.734568
9/22/2006,0.8382
9/23/2006,0.847344
9/24/2006,0.856488
9/25/2006,0.950976
9/26/2006,1.008888
9/27/2006,1.033272
9/28/2006,1.039368
9/29/2006,1.05156
9/30/2006,1.060704
10/1/2006,1.088136
10/2/2006,1.210056
10/3/2006,1.31064
10/4/2006,1.429512
10/5/2006,1.520952
10/6/2006,1.527048
10/7/2006,1.536192
10/8/2006,1.49352
10/9/2006,1.426464
10/10/2006,1.405128
10/11/2006,1.399032
10/12/2006,1.246632
10/13/2006,1.258824
10/14/2006,1.26492
10/15/2006,1.191768
10/16/2006,1.405128
10/17/2006,1.43256
10/18/2006,1.338072
10/19/2006,1.35636
10/20/2006,1.313688
10/21/2006,1.255776
10/22/2006,1.301496
10/23/2006,1.261872
10/24/2006,1.143
10/25/2006,1.03632
10/26/2006,1.130808
10/27/2006,1.414272
10/28/2006,1.484376
10/29/2006,1.484376
10/30/2006,1.530096
10/31/2006,1.621536
11/1/2006,1.685544
11/2/2006,1.69164
11/3/2006,1.886712
11/4/2006,1.871472
11/5/2006,1.865376
11/6/2006,1.944624
11/7/2006,2.039112
11/8/2006,2.023872
11/9/2006,2.069592
11/10/2006,2.04216
11/11/2006,2.075688
11/12/2006,2.01168
11/13/2006,1.947672
11/14/2006,1.880616
11/15/2006,1.92024
11/16/2006,1.697736
11/17/2006,1.588008
11/18/2006,1.53924
11/19/2006,1.484376
11/20/2006,1.47828
11/21/2006,1.41732
11/22/2006,1.41732
11/23/2006,1.331976
11/24/2006,1.444752
11/25/2006,1.6002
11/26/2006,1.731264
11/27/2006,1.853184
11/28/2006,1.956816
11/29/2006,1.984248
11/30/2006,2.036064
12/1/2006,1.96596
12/2/2006,1.911096
12/3/2006,1.883664
12/4/2006,1.877568
12/5/2006,1.862328
12/6/2006,1.898904
12/7/2006,1.85928
12/8/2006,1.79832
12/9/2006,1.670304
12/10/2006,1.636776
12/11/2006,1.725168
12/12/2006,1.79832
12/13/2006,1.764792
12/14/2006,1.740408
12/15/2006,1.740408
12/16/2006,1.725168
12/17/2006,1.685544
12/18/2006,1.6002
12/19/2006,1.545336
12/20/2006,1.50876
12/21/2006,1.612392
12/22/2006,1.591056
12/23/2006,1.581912
12/24/2006,1.609344
12/25/2006,1.66116
12/26/2006,1.469136
12/27/2006,1.429512
12/28/2006,1.40208
12/29/2006,1.484376
12/30/2006,1.578864
12/31/2006,1.853184
1/1/2007,1.944624
1/2/2007,2.078736
1/3/2007,2.334768
1/4/2007,2.630424
1/5/2007,3.029712
1/6/2007,3.249168
1/7/2007,3.395472
1/8/2007,3.422904
1/9/2007,3.465576
1/10/2007,3.496056
1/11/2007,3.557016
1/12/2007,3.617976
1/13/2007,3.575304
1/14/2007,3.59664
1/15/2007,3.648456
1/16/2007,3.745992
1/17/2007,3.94716
1/18/2007,4.093464
1/19/2007,4.300728
1/20/2007,4.443984
1/21/2007,4.614672
1/22/2007,4.684776
1/23/2007,4.696968
1/24/2007,4.70916
1/25/2007,4.703064
1/26/2007,4.727448
1/27/2007,4.721352
1/28/2007,4.818888
1/29/2007,4.803648
1/30/2007,4.773168
1/31/2007,4.83108
2/1/2007,4.898136
2/2/2007,4.855464
2/3/2007,4.818888
2/4/2007,4.70916
2/5/2007,4.620768
2/6/2007,4.462272
2/7/2007,4.29768
2/8/2007,4.13004
2/9/2007,3.989832
2/10/2007,3.76428
2/11/2007,3.514344
2/12/2007,3.243072
2/13/2007,3.054096
2/14/2007,2.80416
2/15/2007,2.612136
2/16/2007,2.404872
2/17/2007,2.215896
2/18/2007,2.045208
2/19/2007,1.911096
2/20/2007,1.834896
2/21/2007,1.764792
2/22/2007,1.709928
2/23/2007,1.655064
2/24/2007,1.688592
2/25/2007,1.740408
2/26/2007,1.712976
2/27/2007,1.703832
2/28/2007,1.703832
