site_no,lat,lon,importance,importance_norm,n_channels,horizon
07374000,30.44566667,-91.1915556,0.0001848339366766796,1.0,1,1
07364200,32.9904049,-91.6556779,0.00014650037022422992,0.7926053670571082,1,1
07364185,33.23555556,-91.5355556,0.00011947898072539286,0.6464125737601489,1,1
07281600,33.65138889,-90.2111111,0.0001085765815190496,0.5874277390356998,1,1
03381700,37.6925,-88.1347222,0.00010524921371364084,0.5694258078685399,1,1
03399800,37.15922215,-88.4272616,0.00010478947691874563,0.5669385114165935,1,1
07263012,34.95666667,-92.985,0.00010235774575043051,0.5537822089970392,1,1
07346000,32.74958345,-94.4988102,0.0001006515467311811,0.5445512254994905,1,1
07349860,32.44737586,-93.5946203,0.00010050163324897944,0.5437401543028417,1,1
07076517,35.43805556,-91.7458333,8.901614996363812e-05,0.48160068201841877,1,1
07077000,34.79444444,-91.4447222,8.633651907114611e-05,0.46710317717341104,1,1
07260500,35.0586111,-93.3955556,8.501870728829455e-05,0.45997347033198427,1,1
06921350,37.90605556,-93.3289167,8.444208872984793e-05,0.4568538129313238,1,1
06926510,38.42144444,-92.20825,8.38047712777217e-05,0.4534057586205992,1,1
07022000,37.22025,-89.4631667,8.20211876360733e-05,0.4437561040511121,1,1
03505550,35.305,-83.6522222,8.053938946079983e-05,0.43573918788346316,1,1
03320000,37.533935,-87.2638873,8.009888492587478e-05,0.4333559429943193,1,1
07020500,37.90075,-89.8302222,7.844990736065256e-05,0.4244345425476757,1,1
07176000,36.3075,-95.6997222,7.441059408755702e-05,0.40258079996272333,1,1
03314500,37.0028201,-86.432768,7.424210701025601e-05,0.40166924075270805,1,1
03316500,37.2639316,-86.9777726,7.362064255849971e-05,0.3983069553254199,1,1
07099973,38.25388889,-104.5958333,7.184807738780148e-05,0.3887169135691872,1,1
07077555,35.03555556,-91.3225,7.150229266384632e-05,0.38684612766172677,1,1
03478400,36.63177439,-82.1337425,7.10548104869827e-05,0.3844251319024557,1,1
07359002,34.4261111,-92.8908333,6.939903340458883e-05,0.3754669442873197,1,1
07344370,33.08944444,-93.8594444,6.931591638769554e-05,0.3750172594600215,1,1
07010000,38.629,-90.1797778,6.7886529542204e-05,0.36728390231148067,1,1
05593000,38.61027778,-89.3575,6.75593464361664e-05,0.36551375602817165,1,1
383619104520401,38.6052735,-104.8683099,6.667757634652436e-05,0.3607431489335207,1,1
07047950,34.97277778,-90.8855556,6.549578363150521e-05,0.35434934086846603,1,1
07030050,35.63733496,-89.609455,6.383493654709535e-05,0.3453637232147389,1,1
05586100,39.70319444,-90.6430833,6.36408602369479e-05,0.34431371955395584,1,1
07076750,35.12888889,-91.4497222,6.334018077331571e-05,0.3426869649165856,1,1
03250500,38.4200749,-83.9974261,6.32406554555667e-05,0.34214850688480597,1,1
06821500,40.0178611,-101.9963056,6.203414126956324e-05,0.33562094918789903,1,1
07288500,33.5473557,-90.5431579,6.201978864594442e-05,0.3355432977355907,1,1
05587450,38.9679722,-90.429,6.120156189552978e-05,0.3311164767462941,1,1
03360000,39.3840681,-87.0208851,6.0469825718032035e-05,0.3271575924058186,1,1
03381500,38.06055556,-88.1572222,6.015777496063878e-05,0.3254693160913931,1,1
03288110,38.20951888,-84.5618868,5.921563174538483e-05,0.3203720745772334,1,1
07290000,32.34777778,-90.6969444,5.883983306028555e-05,0.3183389052802084,1,1
07383500,31.0332528,-91.9826414,5.6877419240821154e-05,0.3077217326183658,1,1
07288955,32.44416667,-90.9141667,5.668269877244405e-05,0.3066682438928742,1,1
05594100,38.45055556,-89.6275,5.6615474718322777e-05,0.30630454415607283,1,1
07198000,35.5731511,-95.0688458,5.619673816723185e-05,0.3040390697598671,1,1
05211000,47.233116,-93.522901,5.606102712997037e-05,0.3033048375095479,1,1
03341300,39.65253694,-87.29361619,5.4673523584412585e-05,0.29579807998165475,1,1
06935965,38.78719444,-90.4718056,5.3856943263265254e-05,0.2913801666058458,1,1
06919020,37.73588889,-93.7796944,5.339132634626276e-05,0.2888610571534676,1,1
06903900,40.8218611,-92.8909722,5.3142447427772946e-05,0.28751455703035894,1,1
384037104472001,38.67694,-104.7894182,5.2610605014594555e-05,0.2846371503011568,1,1
03298500,37.98506585,-85.7174591,5.223504742577099e-05,0.2826052853981195,1,1
07249455,35.3917577,-94.4324373,5.186671071655475e-05,0.28061248734469413,1,1
05518000,41.1828134,-87.3403096,5.139632795099685e-05,0.27806759340359544,1,1
07215500,35.94511667,-105.2557333,5.133355685752613e-05,0.27772798535001314,1,1
05520500,41.15994444,-87.66875,5.048770908864192e-05,0.27315172741766275,1,1
05597000,37.89138889,-89.0194444,5.01815675702351e-05,0.27149542163361,1,1
07289730,32.60305556,-90.3638889,5.008656737686811e-05,0.27098144570973426,1,1
06934500,38.70980556,-91.4385,4.919587217271712e-05,0.2661625514083645,1,1
05507800,39.57405556,-91.5723056,4.887681256482349e-05,0.2644363553773199,1,1
07342500,33.356499,-95.5949562,4.870132755646014e-05,0.26348693552770475,1,1
05599490,37.7583333,-89.3277778,4.8348493489404694e-05,0.2615780108280559,1,1
07039500,36.9281111,-90.2652778,4.8348368887102503e-05,0.26157733669697136,1,1
