target,pred,subset
868000.0,602228.7,0
903000.0,626156.06,0
935000.0,662005.3,0
964000.0,709369.44,0
996000.0,725356.44,0
1.02e+06,734075.3,0
1.04e+06,743175.9,0
1.06e+06,748856.25,0
1.08e+06,749932.75,0
1.1e+06,746974.8,0
1.11e+06,755573.06,0
1.13e+06,879787.0,0
1.15e+06,960838.8,0
1.16e+06,1.000319e+06,0
1.17e+06,1.0373363e+06,0
1.18e+06,1.0602945e+06,0
1.18e+06,1.0718831e+06,0
1.18e+06,1.078088e+06,0
1.17e+06,1.0958125e+06,0
1.16e+06,1.104895e+06,0
1.14e+06,1.1016518e+06,0
1.13e+06,1.0956324e+06,0
1.12e+06,1.0914518e+06,0
1.1e+06,1.0886109e+06,0
1.08e+06,1.0863876e+06,0
1.06e+06,1.087651e+06,0
1.05e+06,1.0865859e+06,0
1.04e+06,1.0859145e+06,0
1.03e+06,1.0823086e+06,0
1.03e+06,1.0786352e+06,0
1.04e+06,1.0740248e+06,0
1.04e+06,1.0677466e+06,0
1.05e+06,1.0593674e+06,0
1.06e+06,1.0505015e+06,0
1.07e+06,1.04382694e+06,0
1.09e+06,1.0414141e+06,0
1.12e+06,1.04729806e+06,0
1.15e+06,1.0566714e+06,0
1.18e+06,1.0766762e+06,0
1.1899999e+06,1.0800722e+06,0
1.21e+06,1.0791194e+06,0
1.22e+06,1.0932426e+06,0
1.24e+06,1.1240956e+06,0
1.25e+06,1.1410372e+06,0
1.25e+06,1.1576188e+06,0
1.26e+06,1.1636729e+06,0
1.26e+06,1.1636929e+06,0
1.27e+06,1.1640276e+06,0
1.27e+06,1.161826e+06,0
1.27e+06,1.1619729e+06,0
1.28e+06,1.1597999e+06,0
1.29e+06,1.1587134e+06,0
1.29e+06,1.1521938e+06,0
1.28e+06,1.1426592e+06,0
1.27e+06,1.1315271e+06,0
1.25e+06,1.1211875e+06,0
1.24e+06,1.1138471e+06,0
1.22e+06,1.1068552e+06,0
1.2e+06,1.1071748e+06,0
1.18e+06,1.1032199e+06,0
1.16e+06,1.0972675e+06,0
1.14e+06,1.0905118e+06,0
1.13e+06,1.0879105e+06,0
1.11e+06,1.0880278e+06,0
1.1e+06,1.097343e+06,0
1.09e+06,1.1046241e+06,0
1.08e+06,1.1044712e+06,0
1.08e+06,1.1013162e+06,0
1.09e+06,1.0968532e+06,0
1.1e+06,1.0939894e+06,0
1.11e+06,1.0979829e+06,0
1.13e+06,1.0989749e+06,0
1.14e+06,1.0990819e+06,0
1.15e+06,1.0972732e+06,0
1.17e+06,1.0959478e+06,0
1.18e+06,1.105156e+06,0
1.1899999e+06,1.1084059e+06,0
1.2e+06,1.1079119e+06,0
1.21e+06,1.1126266e+06,0
1.22e+06,1.1242415e+06,0
1.24e+06,1.1379312e+06,0
1.25e+06,1.1481402e+06,0
1.26e+06,1.1552515e+06,0
1.28e+06,1.1632652e+06,0
1.29e+06,1.1669649e+06,0
1.3e+06,1.1703465e+06,0
1.31e+06,1.1700892e+06,0
1.32e+06,1.1693299e+06,0
1.32e+06,1.1704e+06,0
1.34e+06,1.1760902e+06,0
1.35e+06,1.1784938e+06,0
1.36e+06,1.1827988e+06,0
1.36e+06,1.181612e+06,0
1.36e+06,1.1791404e+06,0
1.35e+06,1.1765912e+06,0
1.34e+06,1.174333e+06,0
1.33e+06,1.1697519e+06,0
1.32e+06,1.1629495e+06,0
1.3e+06,1.1563331e+06,0
1.29e+06,1.1484519e+06,0
1.29e+06,1.1381454e+06,0
1.28e+06,1.1259798e+06,0
1.27e+06,1.1119664e+06,0
1.26e+06,1.1051541e+06,0
1.24e+06,1.1281504e+06,0
1.24e+06,1.1314601e+06,0
1.23e+06,1.1303681e+06,0
1.22e+06,1.124398e+06,0
1.21e+06,1.1197139e+06,0
1.2e+06,1.114307e+06,0
1.18e+06,1.1147091e+06,0
1.17e+06,1.1177365e+06,0
1.16e+06,1.1120766e+06,0
1.14e+06,1.1023605e+06,0
1.13e+06,1.0970089e+06,0
1.13e+06,1.0882409e+06,0
1.11e+06,1.087272e+06,0
1.1e+06,1.087205e+06,0
1.09e+06,1.0836272e+06,0
1.08e+06,1.0808638e+06,0
1.07e+06,1.0947915e+06,0
1.06e+06,1.1136991e+06,0
1.04e+06,1.1233471e+06,0
1.03e+06,1.1276961e+06,0
1.01e+06,1.1296205e+06,0
999000.0,1.1273894e+06,0
986000.0,1.1244504e+06,0
971000.0,1.119194e+06,0
958000.0,1.1082488e+06,0
947000.0,1.0901209e+06,0
937999.94,1.0690291e+06,0
928000.0,1.0416112e+06,0
920000.0,1.0111142e+06,0
910000.0,977747.25,0
903000.0,940626.6,0
899000.0,902861.56,0
900000.0,877312.1,0
905000.0,863245.6,0
914000.0,914668.6,0
924000.0,957100.9,0
936000.0,967051.6,0
947000.0,992187.2,0
957000.0,1.0396212e+06,0
969000.0,1.0551978e+06,0
986000.0,1.061402e+06,0
999000.0,1.0636632e+06,0
998000.0,1.0625726e+06,0
1.01e+06,1.0567584e+06,0
1.01e+06,1.049698e+06,0
1.01e+06,1.0552025e+06,0
1.01e+06,1.0474656e+06,0
1e+06,1.0350528e+06,0
993000.0,1.0145809e+06,0
975999.94,997071.6,0
958000.0,980262.8,0
937999.94,965155.3,0
915000.0,957520.9,0
891000.0,939141.3,0
866000.0,913528.8,0
841000.0,879111.1,0
811000.0,852190.1,0
784000.0,831829.6,0
755000.0,819160.9,0
721000.0,808614.2,0
690000.0,796549.25,0
664000.0,781889.3,0
643000.0,767120.1,0
622000.0,754861.1,0
601000.0,740001.2,0
582000.0,723823.3,0
565000.0,708152.8,0
552000.0,691937.06,0
547000.0,676726.8,0
546000.0,664608.8,0
550000.0,658375.94,0
561000.0,658268.75,0
575000.0,653930.44,0
589000.0,648808.56,0
596000.0,642850.75,0
601000.0,637814.9,0
604000.0,631874.6,0
599000.0,619489.75,0
579000.0,625089.9,0
551000.0,630681.25,0
524000.0,633132.6,0
493000.0,633674.3,0
466000.0,630355.06,0
447000.0,621965.9,0
436000.0,612165.44,0
427000.0,601874.94,0
417000.0,589403.44,0
408999.97,573404.8,0
397000.0,555008.25,0
387000.0,535623.94,0
383000.0,517406.56,0
385000.0,500556.28,0
380000.0,482800.28,0
376000.0,473189.56,0
377000.0,469247.1,0
377000.0,462101.78,0
378000.0,452698.53,0
377000.0,442759.34,0
372000.0,435971.56,0
362000.0,434683.56,0
354000.0,432170.38,0
367000.0,431059.56,0
382000.0,427946.22,0
398000.0,421335.44,0
417000.0,411632.25,0
433000.0,402903.66,0
442000.0,401873.7,0
443000.0,403482.7,0
434000.0,411469.97,0
428000.0,411559.4,0
423999.97,411587.62,0
419000.0,408980.7,0
421000.0,408134.88,0
415000.0,406059.94,0
399000.0,402138.62,0
382000.0,396600.5,0
374000.0,392327.62,0
367000.0,387962.1,0
361000.0,384829.9,0
357000.0,382741.9,0
348000.0,381697.3,0
344999.97,381402.7,0
326000.0,381048.16,0
309000.0,382014.06,0
304000.0,384361.62,0
307000.0,386779.03,0
312000.0,386326.94,0
315000.0,384847.78,0
318000.0,383256.56,0
327000.0,381150.28,0
340000.0,378653.3,0
356000.0,377087.78,0
368000.0,374681.3,0
368000.0,372127.9,0
364000.0,368946.28,0
364000.0,366599.44,0
364000.0,364729.0,0
366000.0,363923.4,0
371000.0,364545.2,0
379000.0,367234.88,0
393000.0,368859.1,0
384000.0,370662.62,0
361000.0,372614.5,0
347000.0,375349.1,0
340000.0,377935.16,0
347000.0,379121.03,0
349000.0,380002.94,0
339000.0,379656.75,0
334000.0,379361.1,0
347000.0,377577.7,0
382000.0,376178.16,0
389000.0,374424.0,0
386000.0,376814.06,0
387000.0,378184.4,0
381000.0,378263.16,0
368000.0,378091.6,0
355000.0,377253.53,0
347000.0,376246.66,0
340000.0,376510.34,0
329999.97,375851.9,0
320000.0,374423.47,0
311000.0,372739.16,0
302000.0,370755.38,0
295000.0,369281.3,0
306000.0,378290.12,0
328000.0,381480.94,0
321000.0,381905.56,0
316000.0,382022.84,0
320000.0,381513.1,0
326000.0,382585.28,0
333000.0,384577.97,0
340000.0,385349.84,0
347000.0,384684.53,0
343000.0,382835.8,0
333000.0,380071.66,0
326000.0,377124.6,0
321000.0,374890.44,0
318000.0,373158.88,0
312000.0,370759.16,0
306000.0,369194.06,0
298000.0,368559.9,0
294000.0,370628.4,0
291000.0,372283.28,0
296000.0,373472.56,0
307000.0,374604.4,0
294000.0,375381.56,0
293000.0,375611.47,0
300000.0,375388.7,0
322000.0,374705.34,0
347000.0,374021.4,0
368000.0,372779.44,0
395000.0,371379.4,0
426000.0,370158.12,0
451000.0,370419.34,0
468000.0,370709.47,0
473000.0,371197.72,0
470000.0,371119.75,0
459000.0,370891.25,0
442000.0,371562.06,0
421000.0,379569.6,0
401000.0,385455.0,0
382000.0,389131.38,0
364000.0,392327.25,0
353000.0,395666.03,0
341000.0,398136.25,0
329000.0,399203.28,0
321000.0,400524.5,0
323000.0,401203.8,0
327000.0,399947.16,0
327000.0,397421.28,0
335000.0,394149.25,0
344999.97,391051.38,0
349000.0,395276.2,0
350000.0,410404.1,0
361000.0,416153.75,0
378000.0,417986.62,0
392000.0,421204.25,0
391000.0,421656.84,0
391000.0,420114.8,0
405000.0,416356.0,0
420000.0,412901.1,0
429000.0,406279.9,0
435000.0,400358.72,0
441000.0,395809.8,0
445000.0,391378.12,0
446000.0,388113.97,0
439000.0,386894.22,0
426000.0,385570.44,0
421000.0,385709.88,0
419000.0,386332.03,0
420000.0,388942.4,0
422000.0,389982.62,0
429000.0,389777.0,0
431000.0,388584.47,0
430000.0,388040.25,0
430000.0,388099.06,0
434000.0,388778.88,0
430000.0,388695.16,0
426000.0,387709.9,0
422000.0,386390.12,0
429000.0,384557.9,0
438000.0,382488.38,0
440000.0,379929.38,0
437000.0,378805.0,0
433000.0,377277.9,0
429000.0,379458.7,0
428000.0,379383.75,0
426000.0,379231.78,0
428000.0,379826.3,0
430000.0,380064.3,0
449000.0,380308.0,0
480000.0,380447.2,0
519000.0,380496.3,0
556000.0,379987.97,0
588000.0,379266.3,0
609000.0,384974.28,0
628000.0,400471.0,0
645000.0,410918.88,0
667000.0,418324.8,0
683000.0,421721.7,0
693000.0,425113.47,0
697000.0,427850.53,0
696000.0,446087.44,0
689000.0,479260.88,0
672000.0,504079.75,0
651000.0,530384.44,0
627000.0,560453.75,0
600000.0,587998.5,0
570000.0,612211.8,0
550000.0,647528.9,0
538000.0,669610.94,0
511000.0,683875.06,0
483000.0,690916.5,0
461000.0,694763.4,0
442000.0,689549.1,0
426000.0,674494.7,0
413000.0,646782.75,0
408000.0,607217.2,0
413000.0,559964.4,0
422000.0,511356.5,0
441000.0,471238.1,0
468000.0,441995.7,0
497000.0,420910.28,0
528000.0,405536.44,0
558000.0,399825.5,0
579000.0,392553.53,0
595000.0,385089.8,0
607000.0,380883.75,0
612000.0,379971.38,0
624000.0,379109.47,0
636000.0,378983.9,0
633000.0,379140.75,0
623000.0,380098.28,0
610000.0,384927.12,0
587000.0,386369.25,0
565000.0,388781.5,0
559000.0,390923.16,0
549000.0,393390.25,0
532000.0,396440.88,0
516000.0,398626.8,0
506000.0,397734.62,0
498000.0,394689.44,0
495000.0,391124.88,0
496000.0,387666.1,0
501000.0,386818.12,0
507000.0,386629.75,0
515000.0,385519.16,0
525000.0,384343.44,0
549000.0,382690.2,0
579000.0,381647.56,0
612000.0,385870.53,0
643000.0,390407.56,0
674000.0,392846.9,0
708000.0,391287.0,0
739000.0,389248.78,0
765000.0,392473.56,0
787000.0,394408.28,0
804000.0,398652.16,0
818000.0,404706.5,0
832000.0,421714.9,0
847000.0,447127.97,0
860000.0,498526.88,0
870000.0,609014.8,0
880000.0,695016.8,0
894000.0,761903.3,0
904000.0,820939.2,0
917000.0,866231.94,0
928000.0,895623.94,0
940000.0,919663.94,0
963000.0,934157.0,0
983000.0,938759.75,0
990999.94,935619.44,0
992000.0,929468.44,0
990999.94,925889.2,0
996000.0,917316.5,0
1e+06,902624.06,0
1.01e+06,886606.25,0
1.03e+06,873380.5,0
1.04e+06,877746.6,0
1.06e+06,929926.6,0
1.06e+06,960777.06,0
1.06e+06,977595.2,0
1.06e+06,983198.2,0
1.06e+06,985636.6,0
1.05e+06,993813.06,0
1.06e+06,1.0005813e+06,0
1.06e+06,1.01728544e+06,0
1.07e+06,1.02743644e+06,0
1.07e+06,1.0355894e+06,0
1.07e+06,1.0527194e+06,0
1.07e+06,1.0571572e+06,0
1.08e+06,1.0545809e+06,0
1.09e+06,1.0605096e+06,0
1.09e+06,1.056296e+06,0
1.09e+06,1.0460048e+06,0
1.07e+06,1.0297896e+06,0
1.05e+06,1.0109435e+06,0
1.03e+06,983960.5,0
1.01e+06,953515.3,0
985000.0,921833.1,0
960000.0,908467.06,0
949000.0,878731.44,0
937999.94,919736.75,0
912000.0,970231.94,0
876000.0,977033.3,0
837000.0,978937.25,0
801000.0,983618.56,0
769000.0,986739.1,0
741000.0,981149.7,0
718000.0,985933.3,0
700000.0,976531.25,0
695000.0,962578.2,0
704000.0,939194.1,0
710000.0,914904.25,0
716000.0,886468.94,0
722000.0,844696.44,0
727000.0,850441.0,0
742000.0,826308.4,0
754000.0,782843.3,0
771000.0,745561.9,0
781000.0,691425.06,0
787000.0,704698.56,0
791000.0,697475.25,0
795000.0,694578.75,0
802000.0,691672.0,0
814000.0,710525.44,0
806000.0,736736.5,0
808000.0,769732.3,0
813000.0,781707.4,0
798000.0,787809.7,0
779000.0,791090.7,0
758000.0,796784.7,0
742000.0,817851.75,0
730000.0,835171.44,0
724000.0,859653.3,0
719000.0,865758.25,0
712000.0,865680.6,0
705000.0,861469.44,0
692000.0,853892.8,0
680000.0,936596.3,0
673000.0,968205.0,0
669000.0,986224.44,0
665000.0,1.0013808e+06,0
659000.0,998248.25,0
659000.0,990789.2,0
657000.0,988855.3,0
651000.0,980483.1,0
649000.0,966379.0,0
651000.0,947486.44,0
655000.0,922957.44,0
660000.0,901365.4,0
668000.0,881184.9,0
678000.0,857402.94,0
686000.0,835954.44,0
690000.0,821918.4,0
690000.0,800793.06,0
689000.0,771067.6,0
689000.0,746473.1,0
682000.0,716572.44,0
673000.0,688054.1,0
665000.0,659182.1,0
655000.0,636641.3,0
641000.0,623204.7,0
626000.0,620033.8,0
611000.0,607311.06,0
595000.0,594884.0,0
577000.0,582479.5,0
561000.0,568767.3,0
547000.0,555771.3,0
536000.0,543211.4,0
527000.0,526443.2,0
524000.0,506979.9,0
526000.0,487134.3,0
539000.0,465560.8,0
561000.0,445915.4,0
583000.0,428372.78,0
603000.0,414095.9,0
622000.0,402831.78,0
637000.0,399036.38,0
653000.0,400990.06,0
665000.0,405376.0,0
671000.0,415241.53,0
668000.0,424511.4,0
653000.0,438983.4,0
631000.0,462960.75,0
611000.0,484517.28,0
592000.0,497648.94,0
581000.0,503916.4,0
580000.0,501132.38,0
587000.0,491859.1,0
597000.0,480252.62,0
609000.0,466370.03,0
620000.0,450567.88,0
631000.0,452348.53,0
641000.0,458480.84,0
650000.0,481431.9,0
655000.0,505694.1,0
650000.0,512100.66,0
640000.0,513607.8,0
623000.0,528749.3,0
601000.0,549674.0,0
573000.0,588923.6,0
541000.0,608023.7,0
507000.0,608129.7,0
472000.0,589696.4,0
448000.0,564124.75,0
425000.0,540437.0,0
404000.0,519446.84,0
387000.0,499310.72,0
374000.0,475901.4,0
365000.0,454655.56,0
357000.0,435549.34,0
343000.0,419922.84,0
327000.0,408383.72,0
318000.0,403511.97,0
315000.0,395809.56,0
313000.0,388755.16,0
307000.0,382780.8,0
307000.0,377240.62,0
301000.0,372587.06,0
300000.0,368055.97,0
306000.0,363786.12,0
310000.0,360639.38,0
316000.0,359296.25,0
326000.0,358954.78,0
335000.0,359021.7,0
349000.0,359500.84,0
363000.0,360581.72,0
401000.0,361068.62,0
423000.0,361552.53,0
391000.0,361568.88,0
